ranker,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
1,Kerry Abello,usUSA,MF,Orlando Pride,23,1999,14.0,1,0,0,19,9,1,37,4,23,,,0,Matches
2,Adriana,brBRA,"MF,FW",Orlando Pride,26,1996,18.3,2,0,0,20,34,4,90,9,17,,,0,Matches
3,Jillienne Aguilera,prPUR,DF,Red Stars,25,1998,2.1,0,0,0,2,2,0,4,2,0,,,0,Matches
4,Amirah Ali,usUSA,"FW,MF",SD Wave,24,1998,5.1,1,0,0,3,15,2,8,0,8,,,0,Matches
5,Amanda Allen,caCAN,FW,Orlando Pride,17,2005,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches
6,Michelle Alozie,ngNGA,"FW,DF",Houston Dash,25,1997,11.2,1,1,0,15,14,3,29,8,8,,,0,Matches
7,Angelina Anderson,usUSA,GK,Angel City FC,21,2001,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
8,Joelle Anderson,usUSA,MF,Houston Dash,24,1998,12.0,4,0,0,15,3,3,30,10,21,,,0,Matches
9,Andressa,brBRA,MF,Houston Dash,30,1992,3.4,0,0,0,5,7,0,8,1,4,,,0,Matches
10,Angelina,brBRA,MF,Reign,23,2000,0.4,0,0,0,1,0,0,0,0,2,,,0,Matches
11,Ary Borges,brBRA,MF,Racing Louisville,23,1999,16.2,4,0,0,20,27,0,16,17,19,,,0,Matches
12,Olivia Athens,usUSA,MF,Reign,23,1999,1.4,0,0,0,1,1,0,2,0,3,,,0,Matches
13,Taylor Aylmer,usUSA,MF,Racing Louisville,24,1998,1.0,0,0,0,1,0,0,0,4,2,,,0,Matches
14,Jordan Baggett,usUSA,MF,Racing Louisville,26,1996,2.8,0,0,0,8,5,0,7,2,2,,,0,Matches
15,Jordan Baggett,usUSA,MF,Washington Spirit,26,1996,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
16,Dorian Bailey,usUSA,DF,Washington Spirit,26,1997,14.2,1,0,0,9,14,0,21,16,21,,,0,Matches
17,Elizabeth Ball,usUSA,DF,Current,27,1995,10.7,1,0,0,5,6,1,1,13,7,,,0,Matches
18,Stine Ballisager Pedersen,dkDEN,DF,Current,29,1994,2.5,0,0,0,1,1,0,2,1,3,,,1,Matches
19,Melanie Barcenas,usUSA,FW,SD Wave,15,2007,1.4,1,0,0,4,1,1,3,0,4,,,0,Matches
20,Lauren Barnes,usUSA,DF,Reign,33,1989,21.4,1,0,0,12,6,0,34,40,28,,,0,Matches
21,Nicole Barnhart,usUSA,GK,Washington Spirit,41,1981,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches
22,Natalie Beckman,usUSA,FW,Portland Thorns,22,2000,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
23,Elyse Bennett,usUSA,"FW,MF",Reign,23,1999,7.7,1,0,0,19,2,3,14,2,5,,,0,Matches
