team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area
Angel City FC,15,4.0,,,,,,,,,,,,,,,6,,,,,
Bay FC,20,4.0,,,,,,,,,,,,,,,5,,,,,
Boston Legacy,19,4.0,,,,,,,,,,,,,,,1,,,,,
Chicago Stars,21,5.0,,,,,,,,,,,,,,,1,,,,,
Current,22,5.0,,,,,,,,,,,,,,,5,,,,,
Denver Summit,18,5.0,,,,,,,,,,,,,,,3,,,,,
Gotham FC,19,5.0,,,,,,,,,,,,,,,1,,,,,
Houston Dash,19,4.0,,,,,,,,,,,,,,,5,,,,,
NC Courage,20,4.0,,,,,,,,,,,,,,,5,,,,,
Orlando Pride,19,5.0,,,,,,,,,,,,,,,5,,,,,
Portland Thorns,20,5.0,,,,,,,,,,,,,,,5,,,,,
Racing Louisville,18,4.0,,,,,,,,,,,,,,,4,,,,,
Reign,19,5.0,,,,,,,,,,,,,,,6,,,,,
Royals,21,5.0,,,,,,,,,,,,,,,4,,,,,
SD Wave,19,5.0,,,,,,,,,,,,,,,6,,,,,
Washington Spirit,19,5.0,,,,,,,,,,,,,,,2,,,,,
