match_id,match_date,home_team,away_team,gating_status,has_market_odds,market_is_fresh,pick_tier,actionable_pick,accepted_bet,bet_reason,model,model_version,model_family,confidence_score,confidence_band,official_pick_count,lean_bet_count,actionable_pick_count,accepted_bet_count,recommended_bets,recommended_leans,actionable_picks,top_pick_tier,rejected_bet_reasons,market_timestamp,market_sportsbook,market_type,market_types,market_age_minutes,mkt_home_odds,mkt_draw_odds,mkt_away_odds,main_total_line,mkt_over_odds,mkt_under_odds
401853965,2026-08-07,Orlando Pride,Racing Louisville FC,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0596896963636277,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed; unsupported_total_line,2026-08-06T22:13:55Z,FoxSports,total,"1x2,total",0.68,1.6451613,4.1,4.0,2.5,1.83755814,1.9558988764044944
401853963,2026-08-08,Gotham FC,San Diego Wave FC,current,True,True,lean,True,False,lean_model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0083368113123721,low,0,1,1,0,none,"1x2_away@3.20(prob_edge=0.096,ev=0.216,stake=10.0)","1x2_away@3.20(prob_edge=0.096,ev=0.216,stake=10.0)",lean,confidence_below_threshold; edge_below_threshold; lean_model_gating_not_passed; side_not_allowed; unsupported_total_line,2026-08-06T22:13:55Z,FoxSports,total,"1x2,total",0.68,2.1,3.2,3.2,1.5,1.656339829950495,2.2698275862068966
401853964,2026-08-08,Washington Spirit,North Carolina Courage,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0265872232303772,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed,2026-08-06T22:13:55Z,FoxSports,total,total,0.68,,,,2.5,1.6329113924050631,2.1399999999999997
401854072,2026-08-08,Denver Summit FC,Utah Royals,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0151875150034673,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed,2026-08-06T22:13:55Z,FoxSports,total,total,0.68,,,,2.5,1.6024096385542168,2.1799999999999997
401853966,2026-08-09,Houston Dash,Kansas City Current,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.1038996340197135,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed,2026-08-06T22:13:55Z,FoxSports,total,total,0.68,,,,2.5,1.6756756756756757,2.06
401853967,2026-08-09,Chicago Stars FC,Bay FC,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0525448114727555,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed,2026-08-06T22:13:55Z,FoxSports,total,total,0.68,,,,2.5,1.6493506493506491,2.1
401854073,2026-08-09,Boston Legacy FC,Portland Thorns FC,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0374304952679361,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed,2026-08-06T22:13:55Z,FoxSports,total,total,0.68,,,,2.5,1.6578947368421053,2.08
401853968,2026-08-10,Seattle Reign FC,Angel City FC,current,True,True,no_bet,False,False,model_gating_not_passed,spi_lite_baseline,20260806T221422Z,spi_lite_baseline,0.0722110591483909,low,0,0,0,0,none,none,none,no_bet,edge_below_threshold; side_not_allowed,2026-08-06T22:13:55Z,FoxSports,total,total,0.68,,,,2.5,1.819672131147541,1.8771929824561404
