team,attack_rating,defense_rating,n_matches,last_match_date
North Carolina Courage,0.4017569965648808,-0.1325342217005411,42,2026-08-01
San Diego Wave FC,0.19081002150946272,-0.3149917125440769,44,2026-08-02
Kansas City Current,0.16998100394779217,-0.1857746437556979,44,2026-08-01
Angel City FC,0.1639546306744393,-0.1252064914557115,42,2026-08-01
Utah Royals,0.13425481796412014,-0.05322197865418467,44,2026-08-02
Denver Summit FC,0.09773412293155007,0.04783058913641221,16,2026-08-03
Gotham FC,0.08975382114308193,-0.1946204836970952,44,2026-08-02
Boston Legacy FC,0.005455779407063472,-0.08473679942603286,18,2026-08-03
Portland Thorns FC,-0.018424727774916518,0.047909919140025736,44,2026-08-02
Orlando Pride,-0.07550281895309396,-0.01605312822586441,44,2026-08-01
Racing Louisville FC,-0.07736275795151551,0.19872297195832886,43,2026-08-01
Seattle Reign FC,-0.08578086487404168,0.13766050687261602,42,2026-08-02
Bay FC,-0.1461771965555681,0.08676751554593438,43,2026-08-02
Washington Spirit,-0.17000201891318228,-0.16799391609295705,44,2026-08-02
Houston Dash,-0.2603432158792339,0.2617234941792786,43,2026-08-02
Chicago Stars FC,-0.4093324248707721,0.5491514696916279,43,2026-08-01
